,P/B,D/E,Y/Y Revenue Growth (S&P),Gross Profit Margin,Trailing P/E,Forward P/E
Basic Materials,2.74,0.5902,4,7.09,24.29,20.29
Communication Services,5.1,0.7963,8.4,14.96,22.88,22.29
Consumer Cyclical,10.06,0.8996,4.1,6.1,30.97,29.49
Consumer Defensive,6.33,0.7755,3.3,4.91,22.79,21.54
Energy,1.99,0.5706,-1.8,6.88,16.62,17.09
Financial Services,2.33,2.455,6.8,18.81,17.81,16.23
Healthcare,4.86,0.842,8,4.67,23.08,18.84
Industrials,6.35,0.8789,4.5,7.26,28.87,24.92
Real Estate,3.02,1.066,5.6,9.79,38.41,31.12
Technology,13.09,0.4845,14.2,17.45,39.91,25.84
Utilities,2.22,1.751,6.3,11.32,20.96,17.85
