,P/B,D/E,Y/Y Revenue Growth,Gross Profit Margin,Trailing P/E,Forward P/E
Agricultural Inputs,0.4295552192307692,63.807692307692314,-0.03753333333333333,0.349879334,26.206113374999997,14.407689936363637
Aluminum,4.017428,112.9545,0.1215,0.137807505,46.369591,11.8439575
Building Materials,3.8398744365294117,56.3119375,0.08564705882352944,0.3110705894117647,39.434795785714286,20.75090523076923
Chemicals,1.167505120117647,105.5399375,0.3507058823529412,0.10992352952941176,21.890394666666666,11.772435258125
Coking Coal,0.5891405399999999,55.860749999999996,-0.225,0.128492,78.453705,-13.6478724
Copper,5.742249516666667,51.41616666666667,0.3945,0.49644166666666667,28.51263275,8.676448566666666
Gold,6.550220835098037,24.246023255813956,2.1206764705882355,0.4003331343235295,34.358275285185194,-9.933569416279068
Lumber & Wood Production,1.662585963333333,31.221666666666668,-0.11116666666666668,0.22437666666666667,20.135581666666667,16.169316000000002
Other Industrial Metals & Mining,16.06455673529412,63.819263157894724,1.126857142857143,0.10743265400000002,21.070199777777777,45.954833797142854
Other Precious Metals & Mining,3.7890982411764704,21.154214285714282,0.6317692307692307,0.4467094135294118,388.4174937142857,-21.995448785714295
Paper & Paper Products,1.0476181759999998,553.7738,-0.054,0.144764,9.29746525,0.25347174999999966
Silver,4.8041255199999995,21.819333333333333,1.764,0.310466,75.617645,-46.985147749999996
Specialty Chemicals,4.360108006127272,182.04375471698117,0.16792307692307698,0.2863634545454546,38.50401857258064,10.274868133265304
Steel,2.223046723157895,54.35564705882354,0.41668421052631577,0.17827473784210532,21.49084616666667,0.5880436692307692
Advertising Agencies,3.4094781653228567,120.29941379310345,0.13870588235294115,0.4032325686,32.00729437145455,13.18513461739131
Broadcasting,1.8217933223076923,265.6055833333333,-0.010769230769230765,0.39756923846153847,33.470123666666666,3.196163803636365
Electronic Gaming & Multimedia,7.505832160952381,58.8541875,9.817473684210526,0.5511542828571427,26.045765011111104,2.3007199653846158
Entertainment,1.4125153447804348,197.40399999999994,1.0908863636363635,0.347564224,63.71190874210526,33.8466349030303
Internet Content & Information,3.276075288866177,57.57677966101695,0.10924615384615377,0.5396900005882351,70.26115360666668,6.129710987272726
Publishing,2.3561626585714284,166.244,0.008714285714285714,0.5213328571428572,181.40488425,20.058572116666667
Telecom Services,3.5038586421052624,149.68742857142863,0.1417592592592594,0.5074991061071429,19.88094023870968,134.47289772857147
Apparel Manufacturing,2.2624859657142866,123.8135,0.03547619047619048,0.501778099047619,27.74488071428571,13.460327794117648
Apparel Retail,3.4745878856666663,154.01403448275863,0.03276666666666667,0.4111613333333333,19.64672291673684,2.4555346803571423
Auto & Truck Dealerships,-1.4470141288461527,267.788652173913,0.10187499999999998,0.3140373034615385,34.04815953846153,11.537565085714286
Auto Manufacturers,3.1645507403970674,130.04899999999998,6.831862068965517,-0.004180626062499998,50.17071556650001,14.129210705999999
Auto Parts,0.2617600096037739,97.96273913043478,0.060607843137254896,0.252469434509434,39.545437241379304,8.389745336734695
Department Stores,2.25266481,108.52100000000002,-0.021333333333333333,0.40389332666666666,11.598973,11.862129000000001
Footwear & Accessories,3.4112831188,231.6806,0.28533333333333327,0.44852000219999993,28.59297005555556,11.725515823076924
Furnishings,0,0,0,0,0,0
Fixtures & Appliances,0,0,0,0,0,0
Gambling,5.516822613333333,148.9923,0.14708333333333332,0.5770650033333333,88.78412073333334,9.9735173
Home Improvement Retail,2.8065028833333336,224.52675,0.0105,0.38236000833333333,19.31214092,11.919790016666667
